Date,Time,TICKER,EXPIRY,STRIKE,C/P,SPOT,QTY,PRICE,TYPE,VOLUME,OI,PREMIUM,SECTOR,UNUSUAL,DTX,EVENTS
6/9/17,2017-06-09T22:10:24.421Z,AMD,6/9/17,12,Call,12.25,1700,0.25,BLOCK,17399,10357,42500,,FALSE,0,
6/9/17,2017-06-09T22:06:07.355Z,NVDA,6/9/17,150,Call,147.72,1380,0.570007,SWEEP,15851,4441,78660,,FALSE,0,
6/9/17,2017-06-09T22:05:42.059Z,QQQ,6/16/17,139.5,Put,139.62,3043,1.62101,SWEEP,16801,13982,493273,,FALSE,7,
6/9/17,2017-06-09T22:05:21.263Z,C,6/16/17,66,Call,64.09,1000,0.18,SWEEP,2224,1146,18000,,FALSE,7,
6/9/17,2017-06-09T22:03:42.090Z,AAPL,6/16/17,149,Call,148.88,1995,2.66,BLOCK,15866,689,530670,,FALSE,7,
6/9/17,2017-06-09T22:02:02.877Z,SPY,7/7/17,242,Call,242.81,1900,2.26579,SWEEP,2893,763,430500,,FALSE,28,
6/9/17,2017-06-09T21:59:54.540Z,MAT,6/16/17,24,Call,22.26,1137,0.2,SWEEP,1197,933,22740,,TRUE,7,
6/9/17,2017-06-09T21:55:33.315Z,TEVA,6/23/17,28.5,Put,30.17,1014,0.3,SWEEP,1041,97,30420,,FALSE,14,
6/9/17,2017-06-09T21:53:19.421Z,IWM,6/16/17,140.5,Put,140.86,2000,1.11836,SWEEP,5359,2323,223672,,FALSE,7,
6/9/17,2017-06-09T21:36:29.322Z,QQQ,6/23/17,139,Put,139.91,2000,1.43958,SWEEP,6241,1948,287916,,FALSE,14,
6/9/17,2017-06-09T21:35:47.232Z,AAPL,6/16/17,149,Put,148.79,2000,2.6,BLOCK,8943,5810,520000,,FALSE,7,
6/9/17,2017-06-09T21:33:08.111Z,S,6/30/17,7.5,Put,8.19,1829,0.14,SWEEP,2029,253,25606,,FALSE,21,
6/9/17,2017-06-09T21:30:19.923Z,BAC,6/16/17,23.5,Put,23.53,2262,0.31,SWEEP,9423,3156,70122,,FALSE,7,
6/9/17,2017-06-09T21:28:17.380Z,AMD,09/17(M),15,Call,12.17,1204,0.65,SWEEP,1903,1806,78260,,FALSE,829,
6/9/17,2017-06-09T21:26:19.078Z,CS,07/17(M),14.51,Call,13.83,1235,0.25,SWEEP,1536,8268,30875,,FALSE,767,
6/9/17,2017-06-09T21:16:39.000Z,BAC,6/30/17,24,Call,23.54,1451,0.34,SWEEP,11650,23645,49334,,FALSE,21,
6/9/17,2017-06-09T21:13:28.983Z,LUK,07/17(M),26,Call,24.8,1878,0.3,SWEEP,1978,115,56340,,FALSE,767,
6/9/17,2017-06-09T21:10:32.305Z,PLCE,07/17(M),110,Call,103.25,1030,1.94762,SWEEP,1030,48,200604,,FALSE,767,
6/9/17,2017-06-09T21:07:19.498Z,AAPL,6/30/17,148,Call,150.46,2641,5.00074,SWEEP,2768,116,1320695,,FALSE,21,
6/9/17,2017-06-09T20:59:51.032Z,DAL,6/16/17,52.5,Put,52.78,2000,0.624995,SWEEP,2061,1371,124999,,FALSE,7,
6/9/17,2017-06-09T20:59:48.976Z,QQQ,07/17(M),144,Put,140.44,1065,4.7,BLOCK,5465,2880,500550,,FALSE,767,
6/9/17,2017-06-09T20:59:26.433Z,EPI,6/30/17,25,Put,25.05,10000,0.37,BLOCK,10000,8,370000,,FALSE,21,
6/9/17,2017-06-09T20:48:26.064Z,VRX,6/23/17,12,Put,12.84,1603,0.23,SWEEP,3088,488,36869,,FALSE,14,
6/9/17,2017-06-09T20:47:51.260Z,FTNT,6/16/17,38,Put,37.8,1147,0.6,SWEEP,3762,4833,68820,,FALSE,7,
6/9/17,2017-06-09T20:47:13.368Z,FTNT,6/16/17,38,Put,37.8,1627,0.6,BLOCK,2593,4833,97620,,FALSE,7,
6/9/17,2017-06-09T20:44:23.919Z,PWR,07/17(M),34,Call,32.65,1500,0.54992,SWEEP,1500,45,82488,,FALSE,767,
6/9/17,2017-06-09T20:39:17.851Z,EA,6/9/17,112,Call,111.55,1004,0.197191,SWEEP,1092,76,19797,,FALSE,0,
6/9/17,2017-06-09T20:38:57.807Z,INTC,09/17(M),34,Put,35.8,2088,0.74,SWEEP,2215,1749,154512,,FALSE,829,
6/9/17,2017-06-09T20:34:47.852Z,FLS,07/17(M),50,Call,47.11,1501,0.599773,SWEEP,1501,1024,90025,,FALSE,767,
6/9/17,2017-06-09T20:32:07.588Z,C,6/16/17,65,Put,64.58,1393,0.97995,SWEEP,2181,1649,136507,,FALSE,7,
6/9/17,2017-06-09T20:21:29.038Z,SPY,6/16/17,244.5,Put,243.88,1001,2.08,SWEEP,13297,11021,208208,,FALSE,7,
6/9/17,2017-06-09T20:14:27.291Z,AAPL,6/9/17,150,Put,150.77,1049,0.319199,SWEEP,17263,11321,33483,,FALSE,0,
6/9/17,2017-06-09T19:57:18.001Z,NVDA,6/9/17,155,Call,154.84,1006,1.49995,SWEEP,15281,2483,150894,,FALSE,0,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
